iter	Passed	Remaining
1399	13927	5969
1400	13942	5960
1401	13952	5951
1402	13962	5941
1403	13972	5931
1404	13981	5920
1405	13991	5910
1406	14000	5900
1407	14010	5890
1408	14021	5881
1409	14032	5871
1410	14042	5861
1411	14053	5852
1412	14062	5841
1413	14071	5831
1414	14081	5821
1415	14091	5811
1416	14112	5806
1417	14137	5802
1418	14153	5794
1419	14166	5786
1420	14176	5776
1421	14189	5767
1422	14204	5759
1423	14216	5750
1424	14226	5740
1425	14235	5730
1426	14244	5719
1427	14253	5709
1428	14262	5698
1429	14270	5688
1430	14279	5678
1431	14289	5668
1432	14298	5657
1433	14307	5647
1434	14317	5637
1435	14325	5626
1436	14333	5615
1437	14340	5604
1438	14348	5594
1439	14357	5583
1440	14371	5575
1441	14394	5570
1442	14406	5560
1443	14415	5550
1444	14424	5540
1445	14432	5529
1446	14442	5519
1447	14450	5508
1448	14458	5498
1449	14467	5487
1450	14477	5477
1451	14487	5467
1452	14495	5456
1453	14503	5446
1454	14512	5435
1455	14520	5425
1456	14529	5414
1457	14537	5404
1458	14545	5393
1459	14553	5382
1460	14564	5373
1461	14573	5362
1462	14583	5352
1463	14595	5343
1464	14606	5334
1465	14618	5324
1466	14631	5315
1467	14643	5306
1468	14655	5297
1469	14666	5287
1470	14676	5277
1471	14686	5268
1472	14707	5261
1473	14719	5252
1474	14732	5243
1475	14745	5234
1476	14760	5226
1477	14777	5219
1478	14795	5211
1479	14809	5203
1480	14828	5196
1481	14845	5189
1482	14860	5180
1483	14877	5173
1484	14894	5165
1485	14906	5156
1486	14919	5147
1487	14932	5138
1488	14943	5128
1489	14952	5118
1490	14962	5107
1491	14972	5097
1492	14982	5087
1493	14994	5078
1494	15006	5068
1495	15016	5059
1496	15027	5049
1497	15038	5039
1498	15047	5029
1499	15057	5019
1500	15065	5008
1501	15074	4998
1502	15086	4988
1503	15094	4978
1504	15103	4967
1505	15115	4958
1506	15125	4948
1507	15136	4938
1508	15146	4928
1509	15157	4918
1510	15167	4908
1511	15178	4898
1512	15188	4888
1513	15198	4878
1514	15207	4868
1515	15216	4858
1516	15225	4847
1517	15235	4837
1518	15244	4827
1519	15258	4818
1520	15272	4809
1521	15284	4800
1522	15295	4790
1523	15308	4781
1524	15321	4772
1525	15334	4763
1526	15347	4754
1527	15360	4744
1528	15370	4734
1529	15381	4725
1530	15393	4715
1531	15406	4706
1532	15417	4696
1533	15428	4687
1534	15441	4677
1535	15450	4667
1536	15461	4657
1537	15469	4646
1538	15478	4636
1539	15490	4627
1540	15499	4616
1541	15508	4606
1542	15517	4595
1543	15526	4585
1544	15535	4575
1545	15545	4564
1546	15554	4554
1547	15565	4544
1548	15574	4534
1549	15583	4524
1550	15593	4514
1551	15603	4503
1552	15613	4494
1553	15623	4484
1554	15633	4473
1555	15645	4464
1556	15658	4455
1557	15670	4445
1558	15681	4435
1559	15694	4426
1560	15705	4416
1561	15716	4407
1562	15727	4397
1563	15739	4387
1564	15750	4377
1565	15761	4368
1566	15772	4358
1567	15784	4348
1568	15795	4339
1569	15807	4329
1570	15818	4319
1571	15830	4310
1572	15841	4300
1573	15850	4289
1574	15859	4279
1575	15869	4269
1576	15878	4259
1577	15886	4248
1578	15895	4238
1579	15904	4227
1580	15912	4217
1581	15921	4206
1582	15931	4196
1583	15942	4186
1584	15951	4176
1585	15960	4166
1586	15971	4156
1587	15981	4146
1588	15990	4135
1589	15998	4125
1590	16007	4115
1591	16017	4104
1592	16027	4094
1593	16038	4085
1594	16047	4074
1595	16056	4064
1596	16066	4054
1597	16076	4044
1598	16085	4033
1599	16093	4023
1600	16102	4012
1601	16111	4002
1602	16120	3992
1603	16129	3982
1604	16138	3971
1605	16147	3961
1606	16155	3950
1607	16182	3944
1608	16190	3934
1609	16214	3927
1610	16223	3917
1611	16233	3907
1612	16241	3896
1613	16250	3886
1614	16258	3875
1615	16267	3865
1616	16275	3855
1617	16284	3844
1618	16293	3834
1619	16302	3824
1620	16311	3813
1621	16320	3803
1622	16330	3793
1623	16340	3783
1624	16348	3772
1625	16356	3762
1626	16365	3751
1627	16373	3741
1628	16381	3730
1629	16389	3720
1630	16398	3710
1631	16406	3699
1632	16415	3689
1633	16425	3679
1634	16435	3669
1635	16445	3659
1636	16454	3648
1637	16462	3638
1638	16471	3627
1639	16481	3617
1640	16490	3607
1641	16500	3597
1642	16510	3587
1643	16519	3577
1644	16528	3566
1645	16537	3556
1646	16547	3546
1647	16556	3536
1648	16564	3525
1649	16573	3515
1650	16582	3505
1651	16591	3494
1652	16600	3484
1653	16609	3474
1654	16619	3464
1655	16627	3453
1656	16648	3446
1657	16659	3436
1658	16670	3426
1659	16679	3416
1660	16688	3405
1661	16696	3395
1662	16703	3384
1663	16713	3374
1664	16722	3364
1665	16731	3354
1666	16741	3344
1667	16751	3334
1668	16759	3323
1669	16768	3313
